,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,cen2bPass,default,1,DATA,1.0,nominal,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_Data.root,MttvsMtcen2bPass,16_Data,Data,,,,,,
79,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,lumi,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPass,16_signalRSGluon4000,g_{RS} (3 TeV),,,lnN,,,1.018
80,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,btag_unc,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPass,16_signalRSGluon4000,g_{RS} (3 TeV),,,lnN,,,1.0
81,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassPILEUPup,16_signalRSGluon4000,g_{RS} (3 TeV),,Up,shapes,1.0,PILEUP,
82,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassPILEUPdown,16_signalRSGluon4000,g_{RS} (3 TeV),,Down,shapes,1.0,PILEUP,
83,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassPDFup,16_signalRSGluon4000,g_{RS} (3 TeV),,Up,shapes,1.0,PDF,
84,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassPDFdown,16_signalRSGluon4000,g_{RS} (3 TeV),,Down,shapes,1.0,PDF,
85,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassJESup,16_signalRSGluon4000,g_{RS} (3 TeV),,Up,shapes,1.0,JES,
86,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassJESdown,16_signalRSGluon4000,g_{RS} (3 TeV),,Down,shapes,1.0,JES,
87,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassJERup,16_signalRSGluon4000,g_{RS} (3 TeV),,Up,shapes,1.0,JER,
88,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassJERdown,16_signalRSGluon4000,g_{RS} (3 TeV),,Down,shapes,1.0,JER,
89,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,btag,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassBTAGup,16_signalRSGluon4000,g_{RS} (3 TeV),,Up,shapes,1.0,BTAG,
90,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,btag,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPassBTAGdown,16_signalRSGluon4000,g_{RS} (3 TeV),,Down,shapes,1.0,BTAG,
91,16_signalRSGluon4000,cen2bPass,default,1,SIGNAL,1.0,nominal,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalRSGluon4000.root,MttvsMtcen2bPass,16_signalRSGluon4000,g_{RS} (3 TeV),,,,,,
339,16_TTbar,cen2bPass,default,2,BKG,1.0,lumi,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_TTbar.root,MttvsMtcen2bPass,16_TTbar,t#bar{t},,,lnN,,,1.018
